"Kategorie | Zpravodajství | seznamzpravy.cz","4726499","142729626","85315927","11452744240"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","4695710","161397761","88649180","13306343298"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3535137","73074960","18829928","1816248887"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3440946","119035653","33114581","7544137938"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3165893","84146459","20550631","3296485424"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2411688","76126301","12664152","1940434431"
"Kategorie | Zpravodajství | reflex.cz","2043460","20138939","5840071","616963922"
"Kategorie | Zpravodajství | echo24.cz","1903522","10306847","6740828","498713469"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1874098","19340078","9432995","1042076211"
"Kategorie | Zpravodajství | irozhlas.cz","1728498","10578979","5541472","689763051"
"Kategorie | Zpravodajství | drbna.cz","1585705","7099980","4417560","230875864"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1391266","8669288","4787979","575357634"
"Kategorie | Zpravodajství | ceskenoviny.cz","1282315","4431831","3005387","167297998"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1151135","19686704","6952941","1526791164"
"Kategorie | Zpravodajství | parlamentnilisty.cz","981152","23236428","6285131","2328463728"
"Kategorie | Zpravodajství | forum24.cz","977198","7987615","3918025","587701001"
"Kategorie | Zpravodajství | nasregion.cz","781833","3955296","1585042","173407790"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","749046","2646008","1811498","150701877"
"Kategorie | Zpravodajství | tydenikpolicie.cz","656794","2283657","1482372","84991444"
"Kategorie | Zpravodajství | info.cz","630234","2109978","1283219","89442097"
"Kategorie | Zpravodajství | ekolist.cz","457826","1022804","740113","41478716"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","411739","1440706","943707","72576290"
"Kategorie | Zpravodajství | respekt.cz","404064","1320614","816910","64681605"
"Kategorie | Zpravodajství | hlidacipes.org","361146","877872","630752","37238284"
"Kategorie | Zpravodajství | prazskypatriot.cz","178304","297578","219113","8894977"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","77757","314659","184656","15345951"
"Kategorie | Zpravodajství | blisty.cz","57551","546773","221606","43936860"
"Kategorie | Zpravodajství | 5plus2.cz","5605","23581","7972","775677"
"Kategorie | Zpravodajství | pravo.cz","121","164","128","5735"
