"Kategorie | Zpravodajství | seznamzpravy.cz","5164559","227389198","124675601","22627990943"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","5076424","214183981","123271357","20661230395"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3654567","132257399","39899696","9910297405"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3382029","64774804","18079491","1717362523"
"Kategorie | Zpravodajství | iprima.cz | CNN Prima NEWS","3374315","29225440","19677989","2068251891"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3329705","72937313","23018896","3762031083"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1943476","13115227","7526876","1052197306"
"Kategorie | Zpravodajství | irozhlas.cz","1903182","14045943","7563663","1032748165"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","1859274","33214780","10016831","1603640499"
"Kategorie | Zpravodajství | forum24.cz","1680760","12894922","7310050","959527090"
"Kategorie | Zpravodajství | reflex.cz","1650226","13965429","5165412","515060384"
"Kategorie | Zpravodajství | ceskenoviny.cz","1624273","6518931","4497517","307822851"
"Kategorie | Zpravodajství | echo24.cz","1619599","8767822","5750860","440917925"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1528658","20065967","8734379","1266544659"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1527777","21034943","8735587","1670549356"
"Kategorie | Zpravodajství | drbna.cz","1447441","6378398","4579274","234639252"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","1049059","3461443","2547198","196406023"
"Kategorie | Zpravodajství | parlamentnilisty.cz","868874","24920021","6596364","2516530114"
"Kategorie | Zpravodajství | nasregion.cz","745008","2460096","1577120","114886588"
"Kategorie | Zpravodajství | respekt.cz","617392","2124569","1476440","97503831"
"Kategorie | Zpravodajství | tydenikpolicie.cz","573526","1483120","1090686","44058206"
"Kategorie | Zpravodajství | hlidacipes.org","559770","1283819","1002581","52899458"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","384807","1753642","1111336","80507997"
"Kategorie | Zpravodajství | ekolist.cz","321215","768045","528293","35660268"
"Kategorie | Zpravodajství | info.cz","292312","1398855","843733","69383951"
"Kategorie | Zpravodajství | blisty.cz","53855","570422","224888","47218638"
"Kategorie | Zpravodajství | 5plus2.cz","5208","20474","7676","884239"
"Kategorie | Zpravodajství | pravo.cz","1","1","1","-"
