"Kategorie | Zpravodajství | seznamzpravy.cz","5298603","251095465","138733154","25498919198"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","5070256","236410658","137437101","22073674529"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3916221","145202225","43377175","10066227051"
"Kategorie | Zpravodajství | iprima.cz | CNN Prima NEWS","3769151","44492695","29005050","3477196597"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3649762","74793749","20487510","1964041108"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3577240","80583059","25448786","3927763314"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2244531","42325721","11484368","1775418722"
"Kategorie | Zpravodajství | irozhlas.cz","2224545","16345869","8990843","1143298471"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","2066405","13111946","7826905","975969976"
"Kategorie | Zpravodajství | forum24.cz","1950928","15318181","9380278","1121725640"
"Kategorie | Zpravodajství | ceskenoviny.cz","1945950","7288421","5177174","318949745"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1760526","24222180","10803064","1920975631"
"Kategorie | Zpravodajství | echo24.cz","1757490","9028754","6203111","424933156"
"Kategorie | Zpravodajství | drbna.cz","1746957","8187697","5660105","314689082"
"Kategorie | Zpravodajství | reflex.cz","1717070","16015051","6199997","626512642"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1618012","20157572","9162089","1245140454"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","1496488","4712693","3595060","249769419"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1130555","26092682","7108407","2607519186"
"Kategorie | Zpravodajství | respekt.cz","972091","2517553","1805578","99720665"
"Kategorie | Zpravodajství | nasregion.cz","836378","2443818","1646813","86110002"
"Kategorie | Zpravodajství | hlidacipes.org","672749","1533369","1181249","71838382"
"Kategorie | Zpravodajství | info.cz","588836","1735689","1157729","72957132"
"Kategorie | Zpravodajství | tydenikpolicie.cz","584040","1562204","1136108","51419913"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","502721","2279896","1475464","105212956"
"Kategorie | Zpravodajství | ekolist.cz","456975","975579","693481","41173648"
"Kategorie | Zpravodajství | blisty.cz","51099","571793","224867","45202280"
"Kategorie | Zpravodajství | 5plus2.cz","2984","20244","7185","933940"
"Kategorie | Zpravodajství | pravo.cz","2","2","2","-"
