"Kategorie | Zpravodajství | seznamzpravy.cz","4878664","150925300","92479987","12965201060"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","4819669","152797367","89795492","13174616915"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3749082","126734694","37565790","8428813104"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3473036","62475176","18655098","1735298732"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3393021","74903216","22512402","3599348286"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2358199","61737154","13173556","2038412852"
"Kategorie | Zpravodajství | reflex.cz","2147860","17758782","6477038","712235443"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1891154","20253445","9999166","1177060767"
"Kategorie | Zpravodajství | irozhlas.cz","1728530","10742946","6069134","693094102"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1612920","10169312","5889535","721919522"
"Kategorie | Zpravodajství | forum24.cz","1558013","10571940","5670167","770090976"
"Kategorie | Zpravodajství | echo24.cz","1532236","7388518","4885830","345870547"
"Kategorie | Zpravodajství | ceskenoviny.cz","1468064","5671172","4015646","250447915"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1276612","20233610","7676650","1637898959"
"Kategorie | Zpravodajství | info.cz","1131399","4954145","2932186","237846126"
"Kategorie | Zpravodajství | parlamentnilisty.cz","942198","25844944","6657468","2897508777"
"Kategorie | Zpravodajství | drbna.cz","930368","4120444","2482620","127072810"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","881641","3114676","2288467","175596942"
"Kategorie | Zpravodajství | respekt.cz","717692","2184937","1478140","104669872"
"Kategorie | Zpravodajství | nasregion.cz","698976","2856686","1390520","102720268"
"Kategorie | Zpravodajství | ekolist.cz","598467","1409015","1088685","62544699"
"Kategorie | Zpravodajství | tydenikpolicie.cz","505140","1678764","1195034","57141530"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","490621","1914749","1306984","109527026"
"Kategorie | Zpravodajství | prazskypatriot.cz","289300","528505","414791","15392583"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","116074","414195","258143","23413875"
"Kategorie | Zpravodajství | hlidacipes.org","82396","209364","139642","11837259"
"Kategorie | Zpravodajství | blisty.cz","57527","580080","258167","46107179"
"Kategorie | Zpravodajství | czin.eu","56205","160277","94908","7041613"
"Kategorie | Zpravodajství | pravo.cz","5149","7196","6423","157548"
"Kategorie | Zpravodajství | 5plus2.cz","4229","24832","8167","1049231"
