"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","5460918","264260415","141207815","25825263125"
"Kategorie | Zpravodajství | seznamzpravy.cz","5274221","219384402","128068823","21884784486"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3788451","71124864","22802650","2263299777"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3667343","90717884","29325793","5036665761"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3650076","161870957","46716394","12051658078"
"Kategorie | Zpravodajství | reflex.cz","2595660","20751318","9167203","887704531"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2402102","71318714","15390687","2532446454"
"Kategorie | Zpravodajství | irozhlas.cz","2198067","15848336","9026350","1074811597"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","2118851","15186404","8920034","1128634735"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","2004802","25749041","12074785","1715436309"
"Kategorie | Zpravodajství | forum24.cz","1978691","14985712","8408413","1100427046"
"Kategorie | Zpravodajství | ceskenoviny.cz","1803318","9246704","6612663","451760982"
"Kategorie | Zpravodajství | info.cz","1673458","7310241","4462391","303434682"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1476319","23748629","9175521","1959317758"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","1166685","4186750","3085401","255466238"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1133586","29163867","7567037","3232101160"
"Kategorie | Zpravodajství | respekt.cz","1095212","3421393","2411469","153822398"
"Kategorie | Zpravodajství | drbna.cz","917611","5252109","3112128","161517706"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","682989","2423404","1713752","126097692"
"Kategorie | Zpravodajství | tydenikpolicie.cz","658829","2067694","1489786","69501147"
"Kategorie | Zpravodajství | nasregion.cz","595890","1691868","877583","53088590"
"Kategorie | Zpravodajství | hlidacipes.org","589727","1524790","1141807","67427675"
"Kategorie | Zpravodajství | ekolist.cz","440108","861265","651114","36224689"
"Kategorie | Zpravodajství | prazskypatriot.cz","233174","393663","311237","10561649"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","112975","524772","313143","30184342"
"Kategorie | Zpravodajství | blisty.cz","104140","746134","348294","61738600"
"Kategorie | Zpravodajství | czin.eu","61124","171238","100708","7017266"
"Kategorie | Zpravodajství | 5plus2.cz","3717","25703","8467","1214367"
"Kategorie | Zpravodajství | pravo.cz","294","452","305","18349"
